method,target_type,metric,mechanism,mask_rate,mean,std,median,minimum,maximum,evaluation_units,masked_entries
gradient_boosting,continuous,mae,mnar,0.2,0.9858886136181498,1.027299081162245,0.8225167608363798,0.1174822604611776,2.181038672338662,4,20
sa_vae,continuous,mae,mar,0.2,0.9947353139177796,1.0845734056419043,0.8108579990070152,0.08735571105476354,2.269869546602324,4,16
gradient_boosting,continuous,mae,mar,0.2,1.0246474459834423,1.1228546386095408,0.8459827195796819,0.0755681225933018,2.331056222181103,4,16
sa_vae_structured,continuous,mae,mar,0.2,1.0287467610396495,1.1719162863295873,0.7714782131495724,0.06448462760479086,2.5075459902546617,4,16
random_forest,continuous,mae,mar,0.2,1.0939670984783139,1.2047933628544278,0.9098713072361924,0.06721467620562244,2.4889111032352487,4,16
sa_vae,continuous,mae,mnar,0.2,1.1875171260581059,1.1969771758145558,1.0228884492134283,0.15988583333731138,2.544405772468256,4,20
sa_vae_structured,continuous,mae,mnar,0.2,1.2333660343146156,1.3311277597100641,0.9636186978252463,0.1365987481826993,2.8696279934252704,4,20
plain_vae,continuous,mae,mar,0.2,1.2530105009663282,1.654538550694572,0.6504234122905821,0.08954556214744636,3.6216496171367023,4,16
knn,continuous,mae,mnar,0.2,1.2560630310479168,1.3161693730436403,1.0399704741501599,0.12340052246121351,2.820910653430134,4,20
plain_vae,continuous,mae,mnar,0.2,1.3139821803238303,1.359332776248244,1.2104973806556383,0.11640769833938565,2.718526261644659,4,20
plain_vae_structured,continuous,mae,mar,0.2,1.3526954389730408,1.8416476477061396,0.639077930758763,0.11651484098295443,4.016111053391683,4,16
mean_mode,continuous,mae,mnar,0.2,1.3909908283428674,1.4051615485822215,1.3627527344596733,0.11041104641305058,2.7280467980390726,4,20
knn,continuous,mae,mar,0.2,1.5537982532682433,1.838103028059526,1.0935205752355408,0.08243707416219552,3.9457147884396964,4,16
plain_vae_structured,continuous,mae,mnar,0.2,1.5909061127381952,1.7361992327935016,1.3715684192592168,0.09886211018746253,3.5216255022468843,4,20
mean_mode,continuous,mae,mcar,0.2,1.7449841220960158,1.740325850203179,1.6790249360661544,0.16367953815736308,3.4582070780943908,4,24
mean_mode,continuous,mae,mar,0.2,1.9502963471567056,2.0513561381931735,1.762201628129996,0.18428892031885047,4.092493212047979,4,16
plain_vae,continuous,rmse,mcar,0.2,0.7260169587300793,0.7182916988684542,0.5858724512603527,0.12158708548122091,1.610735846918391,4,24
plain_vae_structured,continuous,rmse,mcar,0.2,0.8322957143684818,0.8042698569879047,0.799857702486105,0.13307619618433728,1.5963912563173799,4,24
gradient_boosting,continuous,rmse,mcar,0.2,0.8833526282725747,0.919965622697864,0.7657130622780853,0.09577304951829287,1.906211339015835,4,24
